MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday,arena
M0001,,GolemRock,LeonCrest,,,season,S2,1,5,Xtreme
M0002,,TuskMammoth,SharkScale,,,season,S2,1,5,Xtreme
M0003,,FoxBrush,ImpactDrake,,,season,S2,1,5,Xtreme
M0004,,ScorpioSpear,ValkyrieVolt,,,season,S2,1,5,Xtreme
M0005,,SharkScale,FoxBrush,,,season,S2,1,6,Xtreme
M0006,,ImpactDrake,GolemRock,,,season,S2,1,6,Xtreme
M0007,,LeonCrest,ScorpioSpear,,,season,S2,1,6,Xtreme
M0008,,ValkyrieVolt,TuskMammoth,,,season,S2,1,6,Xtreme
M0009,,FoxBrush,ValkyrieVolt,,,season,S2,1,7,Xtreme
M0010,,ScorpioSpear,TuskMammoth,,,season,S2,1,7,Xtreme
M0011,,GolemRock,SharkScale,,,season,S2,1,7,Xtreme
M0012,,LeonCrest,ImpactDrake,,,season,S2,1,7,Xtreme
M0013,,CerberusFlame,ViperTail,,,season,S2,2,5,Xtreme
M0014,,KnightMail,DranSword,,,season,S2,2,5,Xtreme
M0015,,DranBrave,CobaltDragoon,,,season,S2,2,5,Xtreme
M0016,,WyvernHover,WeissTiger,,,season,S2,2,5,Xtreme
M0017,,DranSword,DranBrave,,,season,S2,2,6,Xtreme
M0018,,CobaltDragoon,CerberusFlame,,,season,S2,2,6,Xtreme
M0019,,ViperTail,WyvernHover,,,season,S2,2,6,Xtreme
M0020,,WeissTiger,KnightMail,,,season,S2,2,6,Xtreme
M0021,,DranBrave,WeissTiger,,,season,S2,2,7,Xtreme
M0022,,WyvernHover,KnightMail,,,season,S2,2,7,Xtreme
M0023,,CerberusFlame,DranSword,,,season,S2,2,7,Xtreme
M0024,,ViperTail,CobaltDragoon,,,season,S2,2,7,Xtreme
M0025,,RhinoReaper,SharkEdge,,,season,S2,3,5,Xtreme
M0026,,LeonClaw,HellsReaper,,,season,S2,3,5,Xtreme
M0027,,HellsChain,PerseusDark,,,season,S2,3,5,Xtreme
M0028,,PhoenixWing,SilverWolf,,,season,S2,3,5,Xtreme
M0029,,HellsReaper,HellsChain,,,season,S2,3,6,Xtreme
M0030,,PerseusDark,RhinoReaper,,,season,S2,3,6,Xtreme
M0031,,SharkEdge,PhoenixWing,,,season,S2,3,6,Xtreme
M0032,,SilverWolf,LeonClaw,,,season,S2,3,6,Xtreme
M0033,,HellsChain,SilverWolf,,,season,S2,3,7,Xtreme
M0034,,PhoenixWing,LeonClaw,,,season,S2,3,7,Xtreme
M0035,,RhinoReaper,HellsReaper,,,season,S2,3,7,Xtreme
M0036,,SharkEdge,PerseusDark,,,season,S2,3,7,Xtreme
M0037,,CobaltDrake,PhoenixRudder,,,season,S2,4,5,Xtreme
M0038,,HellsBrave,SolEclipse,,,season,S2,4,5,Xtreme
M0039,,HellsHammer,DranDagger,,,season,S2,4,5,Xtreme
M0040,,WizardArc,WolfHunt,,,season,S2,4,5,Xtreme
M0041,,SolEclipse,HellsHammer,,,season,S2,4,6,Xtreme
M0042,,DranDagger,CobaltDrake,,,season,S2,4,6,Xtreme
M0043,,PhoenixRudder,WizardArc,,,season,S2,4,6,Xtreme
M0044,,WolfHunt,HellsBrave,,,season,S2,4,6,Xtreme
M0045,,HellsHammer,WolfHunt,,,season,S2,4,7,Xtreme
M0046,,WizardArc,HellsBrave,,,season,S2,4,7,Xtreme
M0047,,CobaltDrake,SolEclipse,,,season,S2,4,7,Xtreme
M0048,,PhoenixRudder,DranDagger,,,season,S2,4,7,Xtreme
